,county_name,zip,lat,lng,city,state_name,avg_risk_score_all
9320,Haralson,30176,33.76972,-85.30398,Tallapoosa,Georgia,1.48
9321,Pickens,30177,34.40705,-84.37401,Tate,Georgia,1.51
9322,Bartow,30178,34.09709,-84.97051,Taylorsville,Georgia,1.61
9323,Carroll,30179,33.78088,-85.01961,Temple,Georgia,1.45
9324,Carroll,30180,33.72018,-84.91956,Villa Rica,Georgia,1.39
9325,Carroll,30182,33.65603,-85.24628,Waco,Georgia,1.46
9326,Cherokee,30183,34.33854,-84.59762,Waleska,Georgia,1.89
9327,Bartow,30184,34.26042,-84.71603,White,Georgia,1.6
9328,Carroll,30185,33.51975,-84.90879,Whitesburg,Georgia,1.55
9329,Douglas,30187,33.65736,-84.85454,Winston,Georgia,1.42
9330,Cherokee,30188,34.11873,-84.45526,Woodstock,Georgia,1.42
9331,Cherokee,30189,34.12835,-84.57148,Woodstock,Georgia,1.46
9332,Lamar,30204,33.05844,-84.12343,Barnesville,Georgia,1.31
9333,Fayette,30205,33.26911,-84.46634,Brooks,Georgia,1.5
9334,Pike,30206,33.09671,-84.46303,Concord,Georgia,1.33
9335,Fulton,30213,33.59113,-84.6333,Fairburn,Georgia,1.27
9336,Fayette,30214,33.49222,-84.48697,Fayetteville,Georgia,1.43
9337,Fayette,30215,33.3888,-84.45709,Fayetteville,Georgia,1.35
9338,Butts,30216,33.23951,-83.88162,Flovilla,Georgia,1.35
9339,Heard,30217,33.28671,-85.13309,Franklin,Georgia,1.61
9340,Meriwether,30218,33.12706,-84.58093,Gay,Georgia,1.49
9341,Coweta,30220,33.22849,-84.82463,Grantville,Georgia,1.35
9342,Meriwether,30222,33.04113,-84.74294,Greenville,Georgia,1.33
9343,Spalding,30223,33.28635,-84.28012,Griffin,Georgia,1.3
9344,Spalding,30224,33.20411,-84.23587,Griffin,Georgia,1.35
9345,Henry,30228,33.40374,-84.30575,Hampton,Georgia,1.29
9346,Troup,30230,33.16699,-84.92071,Hogansville,Georgia,1.41
9347,Butts,30233,33.29492,-83.97501,Jackson,Georgia,2.03
9348,Butts,30234,33.33001,-84.02617,Jenkinsburg,Georgia,1.34
9349,Clayton,30236,33.52157,-84.32405,Jonesboro,Georgia,1.44
9350,Clayton,30238,33.4949,-84.38181,Jonesboro,Georgia,1.4
9351,Troup,30240,33.03757,-85.12222,Lagrange,Georgia,1.4
9352,Troup,30241,33.02115,-84.95285,Lagrange,Georgia,1.44
9353,Henry,30248,33.34975,-84.10838,Locust Grove,Georgia,1.32
9354,Clayton,30250,33.43473,-84.30603,Lovejoy,Georgia,1.0
9355,Meriwether,30251,33.18871,-84.69983,Luthersville,Georgia,1.37
9356,Henry,30252,33.47206,-84.06416,Mcdonough,Georgia,1.33
9357,Henry,30253,33.45028,-84.18579,Mcdonough,Georgia,1.46
9358,Pike,30256,33.01654,-84.31515,Meansville,Georgia,1.43
9359,Lamar,30257,33.14218,-84.18606,Milner,Georgia,1.28
9360,Pike,30258,32.99278,-84.47024,Molena,Georgia,1.53
9361,Coweta,30259,33.26522,-84.74073,Moreland,Georgia,1.43
9362,Clayton,30260,33.5862,-84.33046,Morrow,Georgia,1.43
9363,Coweta,30263,33.38852,-84.85911,Newnan,Georgia,1.43
9364,Coweta,30265,33.41649,-84.70749,Newnan,Georgia,1.2
9365,Fulton,30268,33.54357,-84.72262,Palmetto,Georgia,1.42
9366,Fayette,30269,33.39375,-84.56974,Peachtree City,Georgia,1.42
9367,Clayton,30273,33.58365,-84.27208,Rex,Georgia,1.55
9368,Clayton,30274,33.55583,-84.40091,Riverdale,Georgia,1.37
9369,Coweta,30275,33.43066,-84.86798,Sargent,Georgia,1.0
9370,Coweta,30276,33.26552,-84.582,Senoia,Georgia,1.38
9371,Coweta,30277,33.37962,-84.64767,Sharpsburg,Georgia,1.31
9372,Henry,30281,33.56338,-84.1961,Stockbridge,Georgia,1.38
9373,Spalding,30284,33.34032,-84.28858,Sunny Side,Georgia,1.19
9374,Upson,30285,32.98647,-84.25255,The Rock,Georgia,1.54
9375,Upson,30286,32.88078,-84.33334,Thomaston,Georgia,1.44
9376,DeKalb,30288,33.65502,-84.32813,Conley,Georgia,1.47
9377,Coweta,30289,33.32358,-84.63368,Turin,Georgia,1.0
9378,Fayette,30290,33.47675,-84.58804,Tyrone,Georgia,1.3
9379,Fulton,30291,33.57569,-84.5408,Union City,Georgia,1.2
9380,Pike,30292,33.17207,-84.39438,Williamson,Georgia,1.23
9381,Meriwether,30293,32.97581,-84.59612,Woodbury,Georgia,1.28
9382,DeKalb,30294,33.6371,-84.26289,Ellenwood,Georgia,1.36
9383,Pike,30295,33.09319,-84.31819,Zebulon,Georgia,1.28
9384,Clayton,30296,33.56351,-84.44254,Riverdale,Georgia,1.53
9385,Clayton,30297,33.61511,-84.37145,Forest Park,Georgia,1.46
9386,Fulton,30303,33.75284,-84.39028,Atlanta,Georgia,1.32
9387,Fulton,30305,33.83518,-84.38931,Atlanta,Georgia,1.67
9388,Fulton,30306,33.78867,-84.35136,Atlanta,Georgia,1.52
9389,DeKalb,30307,33.77053,-84.33419,Atlanta,Georgia,1.51
9390,Fulton,30308,33.77094,-84.37773,Atlanta,Georgia,1.55
9391,Fulton,30309,33.798,-84.38774,Atlanta,Georgia,1.34
9392,Fulton,30310,33.72695,-84.42726,Atlanta,Georgia,1.65
9393,Fulton,30311,33.72345,-84.47442,Atlanta,Georgia,1.69
9394,Fulton,30312,33.74463,-84.37577,Atlanta,Georgia,1.39
9395,Fulton,30313,33.76369,-84.39761,Atlanta,Georgia,1.6
9396,Fulton,30314,33.75787,-84.43193,Atlanta,Georgia,2.02
9397,Fulton,30315,33.70312,-84.38272,Atlanta,Georgia,1.52
9398,DeKalb,30316,33.71277,-84.33218,Atlanta,Georgia,1.45
